"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0K250","2019-07-30 00:00:00","12.000","0.000","0.000","26.400","0.960","1007.600","-99.000","0.500","-99.000","-99.000","-99.000","33.800","","24.800",""
"C0I410","2019-07-30 00:00:00","180.000","237.000","1.000","26.700","0.920","988.700","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","23.600",""
"C0F9Z0","2019-07-30 00:00:00","3193.000","192.000","2.000","11.000","0.610","699.000","-99.000","0.000","-99.000","-99.000","-99.000","20.100","","10.100",""
"C0G810","2019-07-30 00:00:00","26.000","155.000","0.500","29.400","0.850","1005.200","-99.000","0.000","-99.000","-99.000","-99.000","34.200","","26.400",""
"C0U650","2019-07-30 00:00:00","442.000","0.000","0.200","25.500","0.870","961.300","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","23.500",""
"C0D660","2019-07-30 00:00:00","65.000","216.000","0.300","28.400","0.870","1001.700","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","25.000",""
"C0E540","2019-07-30 00:00:00","32.000","207.000","1.100","27.000","0.940","1005.400","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","24.000",""
"C0W170","2019-07-30 00:00:00","42.000","24.000","1.900","28.200","0.910","1003.100","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","27.300",""
"C0Z150","2019-07-30 00:00:00","27.000","222.000","1.700","27.500","0.890","1008.500","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","24.900",""
"C0S840","2019-07-30 00:00:00","22.000","292.000","1.800","25.400","0.940","1010.100","-99.000","14.000","-99.000","-99.000","-99.000","31.200","","24.700",""
"C0H9A0","2019-07-30 00:00:00","1595.000","0.000","0.000","18.400","0.990","846.100","-99.000","0.500","-99.000","-99.000","-99.000","26.300","","16.100",""
"C0Z300","2019-07-30 00:00:00","182.000","170.000","0.800","24.800","0.880","992.500","-99.000","0.000","-99.000","-99.000","-99.000","34.500","","23.700",""
"C0G730","2019-07-30 00:00:00","27.000","0.000","0.000","28.200","0.940","1006.600","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","25.500",""
"C0V730","2019-07-30 00:00:00","33.000","151.000","0.600","29.700","0.840","1005.800","-99.000","0.500","-99.000","-99.000","-99.000","34.900","","26.200",""
"C0SA00","2019-07-30 00:00:00","466.000","291.000","1.300","21.800","1.000","959.900","-99.000","53.000","-99.000","-99.000","-99.000","29.600","","21.800",""
"C0S900","2019-07-30 00:00:00","27.000","74.000","4.300","26.800","0.790","1008.300","-99.000","9.500","-99.000","-99.000","-99.000","30.900","","26.700",""
"C0C480","2019-07-30 00:00:00","105.000","124.000","0.300","29.300","0.810","997.100","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","27.000",""
"C0V720","2019-07-30 00:00:00","15.000","117.000","0.300","30.900","0.700","1007.200","-99.000","1.500","-99.000","-99.000","-99.000","34.500","","26.900",""
"C0UA60","2019-07-30 00:00:00","566.000","230.000","0.500","23.600","0.960","947.700","-99.000","0.000","-99.000","-99.000","-99.000","28.300","","22.900",""
"C0C670","2019-07-30 00:00:00","250.000","170.000","1.100","27.400","0.870","981.500","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","24.500",""
"C0K550","2019-07-30 00:00:00","15.000","0.000","0.000","28.300","0.850","1007.500","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","25.800",""
"C0R350","2019-07-30 00:00:00","35.000","47.000","3.900","26.800","-99.000","1005.000","-99.000","11.500","-99.000","-99.000","-99.000","32.200","","25.600",""
